QAP,Está na escuta?
QSL,"entendido, acusado o recebimento da mensagem"
QTH,"Qual endereço, local, posição"
QAR,desligar
QRN,Está com interferência na comunicação?
QRA,Qual nome do operador ou da estação (indicativo)
QRL,Você está ocupado?
QRM,Está sofrendo interferência humana?
QRQ,Transmita mais depressa
QRS,Transmita mais devagar
QRT,Devo parar de transmitir? fora do ar
QRU,tens algo para mim?
QRV,Está preparado? as suas ordens
QRX,Quando você vai me ligar de novo?
QRZ,Quem está me chamando?
QSA,Como está recebendo? Qual a força do sinal?
QSM,Devo repetir a última mensagem?
QSO,comunicado aviso
QSP,Fazer ponte. Pode transmitir para...
QTC,Quantas mensagens para enviar? Tem mensagem para enviar?
QTR,Qual o horário exato?
QTU,Em qual horário irá operar?
QTA,Devo cancelar a última mensagem?
QSV,viatura
QSD,motorista
QSJ,dinheiro/pagamento
TKS,obrigado
QRB,Qual distância da estação. Qual sua distância
QRM,Você sofre interferência?
QRQ,transmitir mais depressa
QRS,transmitir mais devagar
QSN,escutou-me
QSR,devo repetir
QTN,que horas saiu
QUA,Você tem notícias de...
